# Eden New Frontiers keeps and towers: positions from the Eden war map (via DAoCLogWatcher frontier_zones.json, checked against the launcher map at Dun da Behnn),
# piece layouts and headings from Dawn-of-Light db-public (Keep, KeepComponent). heading in degrees, piece x/y in 148 unit grid steps, piece heading in 90 degree steps
region,keep_id,name,realm,x,y,z,heading,skin,piece_x,piece_y,piece_heading
163,62,Caer Benowyc,1,576290,502131,8776,270,30,-5,5,0
163,62,Caer Benowyc,1,576290,502131,8776,270,24,-2,-6,0
163,62,Caer Benowyc,1,576290,502131,8776,270,21,4,-9,0
163,62,Caer Benowyc,1,576290,502131,8776,270,21,-5,-9,0
163,62,Caer Benowyc,1,576290,502131,8776,270,25,-6,-6,1
163,62,Caer Benowyc,1,576290,502131,8776,270,25,7,-6,0
163,62,Caer Benowyc,1,576290,502131,8776,270,21,10,1,3
163,62,Caer Benowyc,1,576290,502131,8776,270,21,-9,3,1
163,62,Caer Benowyc,1,576290,502131,8776,270,21,-3,10,2
163,62,Caer Benowyc,1,576290,502131,8776,270,29,6,7,2
163,62,Caer Benowyc,1,576290,502131,8776,270,28,-9,6,1
163,62,Caer Benowyc,1,576290,502131,8776,270,28,10,4,3
163,62,Caer Benowyc,1,576290,502131,8776,270,25,7,7,3
163,62,Caer Benowyc,1,576290,502131,8776,270,21,0,10,2
163,62,Caer Benowyc,1,576290,502131,8776,270,32,-6,0,1
163,62,Caer Benowyc,1,576290,502131,8776,270,32,7,-5,3
163,62,Caer Benowyc,1,576290,502131,8776,270,33,4,-1,0
163,62,Caer Benowyc,1,576290,502131,8776,270,27,-6,13,1
163,63,Caer Berkstead,1,616597,510903,8852,78,30,0,8,1
163,63,Caer Berkstead,1,616597,510903,8852,78,24,-2,-7,0
163,63,Caer Berkstead,1,616597,510903,8852,78,25,4,-7,0
163,63,Caer Berkstead,1,616597,510903,8852,78,25,-3,-7,1
163,63,Caer Berkstead,1,616597,510903,8852,78,29,-3,-1,1
163,63,Caer Berkstead,1,616597,510903,8852,78,29,4,-6,3
163,63,Caer Berkstead,1,616597,510903,8852,78,22,6,0,3
163,63,Caer Berkstead,1,616597,510903,8852,78,27,10,9,2
163,63,Caer Berkstead,1,616597,510903,8852,78,27,-3,15,1
163,63,Caer Berkstead,1,616597,510903,8852,78,23,3,12,2
163,63,Caer Berkstead,1,616597,510903,8852,78,20,-6,4,0
163,64,Caer Erasleigh,1,572040,548393,8232,205,30,-3,5,1
163,64,Caer Erasleigh,1,572040,548393,8232,205,24,1,-7,0
163,64,Caer Erasleigh,1,572040,548393,8232,205,25,7,-7,0
163,64,Caer Erasleigh,1,572040,548393,8232,205,29,7,-6,3
163,64,Caer Erasleigh,1,572040,548393,8232,205,21,10,0,3
163,64,Caer Erasleigh,1,572040,548393,8232,205,29,7,3,3
163,64,Caer Erasleigh,1,572040,548393,8232,205,25,7,9,3
163,64,Caer Erasleigh,1,572040,548393,8232,205,23,-5,-10,0
163,64,Caer Erasleigh,1,572040,548393,8232,205,27,-12,-7,0
163,64,Caer Erasleigh,1,572040,548393,8232,205,29,6,9,2
163,64,Caer Erasleigh,1,572040,548393,8232,205,23,0,12,2
163,64,Caer Erasleigh,1,572040,548393,8232,205,27,-6,15,1
163,64,Caer Erasleigh,1,572040,548393,8232,205,21,-9,-4,1
163,64,Caer Erasleigh,1,572040,548393,8232,205,28,-9,8,1
163,64,Caer Erasleigh,1,572040,548393,8232,205,20,-7,6,0
163,65,Caer Boldiam,1,606759,576610,8880,0,30,3,7,2
163,65,Caer Boldiam,1,606759,576610,8880,0,24,1,0,0
163,65,Caer Boldiam,1,606759,576610,8880,0,27,-9,16,1
163,65,Caer Boldiam,1,606759,576610,8880,0,21,-6,13,2
163,65,Caer Boldiam,1,606759,576610,8880,0,21,7,-3,0
163,65,Caer Boldiam,1,606759,576610,8880,0,27,16,10,2
163,65,Caer Boldiam,1,606759,576610,8880,0,23,9,13,2
163,65,Caer Boldiam,1,606759,576610,8880,0,22,12,1,3
163,65,Caer Boldiam,1,606759,576610,8880,0,27,10,-6,3
163,65,Caer Boldiam,1,606759,576610,8880,0,26,-5,-8,3
163,65,Caer Boldiam,1,606759,576610,8880,0,27,-8,-15,3
163,65,Caer Boldiam,1,606759,576610,8880,0,25,-9,-9,1
163,65,Caer Boldiam,1,606759,576610,8880,0,22,-11,0,1
163,65,Caer Boldiam,1,606759,576610,8880,0,28,-12,9,1
163,65,Caer Boldiam,1,606759,576610,8880,0,23,-12,6,1
163,65,Caer Boldiam,1,606759,576610,8880,0,20,-7,2,0
163,66,Caer Sursbrooke,1,581532,600756,8496,90,30,7,-3,3
163,66,Caer Sursbrooke,1,581532,600756,8496,90,24,-8,-4,0
163,66,Caer Sursbrooke,1,581532,600756,8496,90,27,-15,-4,0
163,66,Caer Sursbrooke,1,581532,600756,8496,90,23,-2,-7,0
163,66,Caer Sursbrooke,1,581532,600756,8496,90,23,4,-7,0
163,66,Caer Sursbrooke,1,581532,600756,8496,90,27,10,-10,3
163,66,Caer Sursbrooke,1,581532,600756,8496,90,22,-11,5,1
163,66,Caer Sursbrooke,1,581532,600756,8496,90,27,-9,12,1
163,66,Caer Sursbrooke,1,581532,600756,8496,90,29,-3,6,2
163,66,Caer Sursbrooke,1,581532,600756,8496,90,29,3,6,2
163,66,Caer Sursbrooke,1,581532,600756,8496,90,23,9,9,2
163,66,Caer Sursbrooke,1,581532,600756,8496,90,27,16,6,2
163,67,Caer Hurbury,1,599686,650276,8424,110,30,-6,9,1
163,67,Caer Hurbury,1,599686,650276,8424,110,24,9,-3,1
